x,y,rho,ux,uy,speed
0,0,1.001030187138541,8.473841042004155e-08,-8.471394051088752e-08,1.19820907680578e-07
0,1,1.001029971755391,6.43826344347533e-07,-1.245280439022891e-06,1.401868657716889e-06
0,2,1.001029848390307,7.606964053036884e-07,-3.302991145049021e-06,3.389455638493325e-06
0,3,1.001030012612136,9.582028406548743e-07,-5.907642353737051e-06,5.984846770261283e-06
0,4,1.001030587676102,8.307741210968917e-07,-8.556576238149274e-06,8.596812348745614e-06
0,5,1.001031578136713,7.384303027596109e-07,-1.091647876819378e-05,1.094142531887228e-05
0,6,1.001032902015049,4.873176374181159e-07,-1.273652019620002e-05,1.274583952464293e-05
0,7,1.001034554062377,2.232381470020344e-07,-1.380071298976328e-05,1.380251840412096e-05
0,8,1.001036494733359,-1.293638850388152e-07,-1.392964067519088e-05,1.393024136024514e-05
0,9,1.001038691427558,-5.001359559267053e-07,-1.29819371786489e-05,1.299156760690554e-05
0,10,1.001041099017993,-9.227876094525801e-07,-1.084041475621035e-05,1.087961989496059e-05
0,11,1.001043684535161,-1.367150403563562e-06,-7.40249690665151e-06,7.527686276602471e-06
0,12,1.001046406815589,-1.845347896797413e-06,-2.57992449993306e-06,3.171958272986813e-06
0,13,1.001049226477851,-2.3430636978044e-06,3.703960241561071e-06,4.382838003284399e-06
0,14,1.001052101103122,-2.864709428389502e-06,1.151646437222868e-05,1.186741386090146e-05
0,15,1.00105498879945,-3.403024855774472e-06,2.091702529730818e-05,2.119203920006872e-05
0,16,1.001057844641269,-3.958439141292306e-06,3.195713392331253e-05,3.220136098098724e-05
0,17,1.001060622717258,-4.526568378690339e-06,4.468087376718718e-05,4.490957917734561e-05
0,18,1.00106327510847,-5.106217878304643e-06,5.912493146284102e-05,5.934501648416964e-05
0,19,1.001065752495471,-5.693992960172912e-06,7.53184800786938e-05,7.55334031882259e-05
0,20,1.001068003701419,-6.287757835763069e-06,9.328281185987332e-05,9.349448586459911e-05
0,21,1.001069976240743,-6.884405076748505e-06,0.0001130311048410869,0.0001132405655887391
0,22,1.001071616306324,-7.481267503746976e-06,0.0001345680539372146,0.0001347758528220531
0,23,1.001072869116001,-8.075193781692241e-06,0.000157889530307824,0.0001580958966432626
0,24,1.001073679129391,-8.663168931419585e-06,0.0001829822418976393,0.0001831872030077988
0,25,1.001073990459239,-9.241940261063625e-06,0.0002098234677020886,0.0002100269055581177
0,26,1.00107374720858,-9.808282580850031e-06,0.0002383808170332234,0.0002385825147336094
0,27,1.001072893903243,-1.035886271183754e-05,0.000268612063282343,0.0002688117307289251
0,28,1.001071375922892,-1.089036874630583e-05,0.0003004650452177856,0.0003006623413884028
0,29,1.001069139976729,-1.139947001572645e-05,0.0003338776519442836,0.0003340721993588626
0,30,1.001066134576057,-1.188288722126194e-05,0.000368777884391942,0.0003689692819535385
0,31,1.001062310528243,-1.233739491845718e-05,0.0004050840054229155,0.0004052718381072717
0,32,1.001057621427827,-1.275986782763348e-05,0.0004427047753642959,0.0004428886229712052
0,33,1.001052024146486,-1.31472985845275e-05,0.0004815397751337013,0.0004817192195624816
0,34,1.001045479308816,-1.349683301052403e-05,0.0005214798136296502,0.0005216544455140094
0,35,1.001037951752128,-1.380579312019428e-05,0.0005624074189439035,0.0005625768434683576
0,36,1.001029410960267,-1.407170578751394e-05,0.0006041974086659834,0.0006043612508611549
0,37,1.001019831466474,-1.429232524405672e-05,0.0006467175353292277,0.0006468754447829912
0,38,1.001009193218328,-1.44656564866672e-05,0.0006898292011549586,0.0006899808562443443
0,39,1.000997481899845,-1.458997465973237e-05,0.0007333882362092213,0.0007335333478245173
0,40,1.000984689205023,-1.466384303519258e-05,0.0007772457326354862,0.0007773840474261319
0,41,1.000970813058642,-1.468612764763968e-05,0.0008212489274451934,0.0008213802305723965
0,42,1.000955857780414,-1.46560095059439e-05,0.0008652421255446458,0.0008653662429466814
0,43,1.000939834189575,-1.457299357417289e-05,0.0009090676544216081,0.0009091844545840614
0,44,1.00092275964766,-1.443691484366412e-05,0.0009525668414409778,0.0009526762366738473
0,45,1.000904658038203,-1.424794121062722e-05,0.0009955810046159846,0.000995682951838041
0,46,1.000885559682909,-1.400657329854435e-05,0.001037952447574952,0.001038046948611863
0,47,1.000865501194796,-1.37136411690622e-05,0.001079525449525183,0.001079612550930501
0,48,1.000844525269626,-1.337029805034389e-05,0.001120147241145307,0.001120227033558554
0,49,1.000822680417851,-1.297801116958077e-05,0.001159668957643413,0.001159741574703467
0,50,1.000800020640067,-1.253854984710104e-05,0.0011979465605764,0.00119801217741269
0,51,1.000776605049765,-1.2053971031999e-05,0.001234841720538351,0.001234900551866325
0,52,1.000752497447811,-1.152660248942524e-05,0.001270222653376797,0.001270274951227702
0,53,1.000727765853729,-1.095902387564075e-05,0.001303964903283382,0.001304010954401514
0,54,1.000702481999329,-1.035404595412264e-05,0.001335952066805211,0.001335992189748404
0,55,1.000676720790701,-9.71468822884635e-06,0.001366076452625361,0.001366110994606541
0,56,1.000650559744849,-9.044155274428804e-06,0.001394239672763833,0.001394269006272903
