repeat,ranks,nx,ny,steps,warmup,seconds,mlups
1,1,128,128,40000,100,31.414743411000003,20.861542347359197
1,2,128,128,40000,100,16.124386443999999,40.644027124757002
1,4,128,128,40000,100,8.0838669360000015,81.070112260442571
1,8,128,128,40000,100,4.1475171340000001,158.01260822470661
1,16,128,128,40000,100,2.1740151720000003,301.45143807671639
1,32,128,128,40000,100,1.1962403240000001,547.84978139559848
2,32,128,128,40000,100,1.1983522929999999,546.88425417816609
2,16,128,128,40000,100,2.179777853,300.65449059317513
2,8,128,128,40000,100,4.1518513819999994,157.847653902367
2,4,128,128,40000,100,8.0852358770000006,81.056385981798854
2,2,128,128,40000,100,15.834499259999999,41.388110178862703
2,1,128,128,40000,100,31.415531014999999,20.861019337444425
3,1,128,128,40000,100,31.457666678000002,20.833077249760791
3,2,128,128,40000,100,15.787384045000001,41.511627140505148
3,4,128,128,40000,100,8.1641422749999997,80.272976379505835
3,8,128,128,40000,100,4.1483585189999994,157.98055953900067
3,16,128,128,40000,100,2.1691926600000002,302.12161975506592
3,32,128,128,40000,100,1.219898076,537.22520995270429
