ranks,median_seconds,min_seconds,max_seconds,speedup,efficiency
1,30.629238186,30.620110796,30.671242852000002,1.0,1.0
2,15.815656799000001,15.419231451999998,15.894351291,1.936640291027094,0.968320145513547
4,8.114203507,8.110978721,8.127599921,3.7747683009893236,0.9436920752473309
8,4.287079932999999,4.278511243,4.289056829,7.144545626553402,0.8930682033191752
16,2.284475535,2.273935189,2.2882116109999995,13.407557978509933,0.8379723736568708
32,1.009518473,1.008937834,1.033005104,30.340443493796275,0.9481388591811336
