repeat,ranks,nx,ny,steps,warmup,seconds,mlups
1,1,1024,1024,600,100,30.629238185999998,20.540687175418213
1,2,1024,1024,600,100,15.815656799000001,39.779922389298427
1,4,1024,1024,600,100,8.1142035069999991,77.5363348303066
1,8,1024,1024,600,100,4.2890568289999997,146.68623547864863
1,16,1024,1024,600,100,2.2844755349999999,275.40045422285516
1,32,1024,1024,600,100,1.0089378339999999,623.57221505482767
2,32,1024,1024,600,100,1.0330051039999999,609.04403817931188
2,16,1024,1024,600,100,2.2882116109999995,274.95079431270318
2,8,1024,1024,600,100,4.2870799329999993,146.75387672553575
2,4,1024,1024,600,100,8.1275999209999998,77.408534636949923
2,2,1024,1024,600,100,15.419231451999998,40.802656212699546
2,1,1024,1024,600,100,30.620110795999999,20.546810042313346
3,1,1024,1024,600,100,30.671242852000002,20.51255643717662
3,2,1024,1024,600,100,15.894351291,39.582968092333957
3,4,1024,1024,600,100,8.1109787210000004,77.567161946941084
3,8,1024,1024,600,100,4.2785112429999996,147.04778467728337
3,16,1024,1024,600,100,2.2739351889999999,276.67701482586097
3,32,1024,1024,600,100,1.009518473,623.21355856952209
