repeat,ranks,nx,ny,steps,warmup,seconds,mlups
1,1,4096,4096,2000,100,11.193536841,2997.6612822763832
1,2,4096,4096,2000,100,5.8458765559999994,5739.8461425876203
1,4,4096,4096,2000,100,3.2132992300000005,10442.361447925281
2,4,4096,4096,2000,100,3.216943712,10430.531275643283
2,2,4096,4096,2000,100,5.8452210509999993,5740.489830450384
2,1,4096,4096,2000,100,11.192222993,2998.0131758441639
3,1,4096,4096,2000,100,11.184547094999999,3000.0706970960277
3,2,4096,4096,2000,100,5.8464137570000005,5739.3187336125093
3,4,4096,4096,2000,100,3.2164273710000004,10432.205714493652
