ranks,median_seconds,min_seconds,max_seconds,speedup,efficiency
1,11.192222993,11.184547095,11.193536841,1.0,1.0
2,5.8458765559999994,5.845221050999999,5.8464137570000005,1.9145500055954312,0.9572750027977156
4,3.2164273710000004,3.2132992300000005,3.216943712,3.4797064264256314,0.8699266066064079
