repeat,ranks,nx,ny,steps,warmup,seconds,mlups
1,1,64,64,150000,100,29.571164451000001,20.776997166211455
1,2,64,64,150000,100,15.021743572,40.900711495649539
1,4,64,64,150000,100,7.8918609889999995,77.852359647030781
1,8,64,64,150000,100,4.2638400460000003,144.09546168984031
1,16,64,64,150000,100,2.4189225319999998,253.9973859733347
1,32,64,64,150000,100,1.5069262649999997,407.71736100837035
2,32,64,64,150000,100,1.5111192720000002,406.58603949033613
2,16,64,64,150000,100,2.413272997,254.59200047560969
2,8,64,64,150000,100,4.269781772,143.89494189821559
2,4,64,64,150000,100,7.8336293619999999,78.431078572644893
2,2,64,64,150000,100,15.045639005,40.835753123933202
2,1,64,64,150000,100,29.632971067,20.733661792158628
3,1,64,64,150000,100,29.595591579000001,20.759848586231904
3,2,64,64,150000,100,15.283693058000001,40.199708124758644
3,4,64,64,150000,100,7.8272850480000002,78.494649962567706
3,8,64,64,150000,100,4.348545777,141.28861267820571
3,16,64,64,150000,100,2.415327075,254.37548659947018
3,32,64,64,150000,100,1.5213438399999999,403.85347733093658
