ranks,median_seconds,min_seconds,max_seconds,speedup,efficiency
1,29.595591579,29.571164451,29.632971067,1.0,1.0
2,15.045639005,15.021743572,15.283693058,1.9670544779895842,0.9835272389947921
4,7.833629362,7.827285048,7.8918609889999995,3.7780178524356387,0.9445044631089097
8,4.269781772,4.263840046,4.348545777,6.931406137212766,0.8664257671515958
16,2.415327075,2.413272997,2.418922532,12.253243829927257,0.7658277393704536
32,1.5111192720000002,1.5069262649999997,1.52134384,19.585212185024663,0.6120378807820207
