repeat,ranks,nx,ny,steps,warmup,seconds,mlups
1,1,256,256,20000,100,62.490035478999999,20.974864071576214
1,2,256,256,20000,100,31.949766027999999,41.024400580940622
1,4,256,256,20000,100,16.101567325000001,81.403255567855084
1,8,256,256,20000,100,8.10151486,161.78702658085356
1,16,256,256,20000,100,4.0911887399999998,320.37632172403761
1,32,256,256,20000,100,2.1116282210000001,620.71532619472407
2,32,256,256,20000,100,2.1146284949999998,619.83464381529586
2,16,256,256,20000,100,4.0978376029999994,319.85650164380127
2,8,256,256,20000,100,8.0903313150000002,162.0106703874834
2,4,256,256,20000,100,16.013925185999998,81.848765045179746
2,2,256,256,20000,100,31.929849575999995,41.049989818467544
2,1,256,256,20000,100,62.501873091999997,20.970891513453974
3,1,256,256,20000,100,62.537045954999996,20.959096803887402
3,2,256,256,20000,100,31.363511367999998,41.791239017239626
3,4,256,256,20000,100,16.094816104,81.437401429784003
3,8,256,256,20000,100,8.0790690519999995,162.23651407899862
3,16,256,256,20000,100,4.0962773060000002,319.97833693537547
3,32,256,256,20000,100,2.11777149,618.91474419650444
